,date,text
10,19970325,"Release Date: March 25, 1997
For immediate releaseThe Federal Open Market Committee decided today to tighten money market conditionsslightly, expecting the federal f
unds rate to rise 1/4 percentage point to around 5-1/2 percent.This action was taken in light of persisting strength in demand, which is progressivelyincreasing the risk of inflationary imbalances developing in the economy that wouldeventually undermine the long expansion.In these circumstances, the slight firming of monetary conditions is viewed as a prudent stepthat affords greater assurance of prolonging 
the current economic expansion by sustainingthe existing low inflation environment through the rest of this year and next. The experienceof the last several years has reinforced the conviction that low inflation is essential torealizing the economy's fullest growth potential.No change was made in the Federal Reserve discount rate, which remains at 5 percent.1997 Monetary policyHome
 | 
News and events
Accessibility
Last update: March 25, 1997 3:00 PM
"
11,19980929,"Release Date: September 29, 1998
For immediate releaseThe Federal Open Market Committee decided today to ease the stance of monetary policyslightly, expecting the federal 
funds rate to decline 1/4 percentage point to around 5-1/4percent.The action was taken to cushion the effects 
on prospective economic growth in the UnitedStates of increasing weakness in foreign economies and of less accommodative financialconditions domestically. The recent changes in
 the global economy and adjustments in U.S.financial markets mean that a slightly lower federal funds rate should now be consistentwith keeping inflation low and sustaining economic growth going forward.The discount rate remains unchanged at 5 percent.1998 Monetary policyHome
 | 
News and events
Accessibility
Last update: September 29, 1998, 2:15 PM
"
12,19981015,"Release Date: October 15, 1998
For immediate releaseThe Federal Reserve today announced the following set of policy actions:The Board of Governors approved a reduction in the discount rate by 25 basis pointsfrom 5 percent to 4-3/4 percent.The federal funds rate is expected to fall 25 basis points from around 5-1/4 percent toaround 5 percent.Growing caution by lenders and unsettled conditions in financial markets more generally arelikely to be restraining aggregate demand in the future. Against this backdrop, further easingof the stance of monetary policy was judged to be warranted to sustain economic growth inthe context of contained inflation.In taking the discount rate action, the Board approved requests submitted by the Boards ofDirectors of the Federal Reserve Banks of New York, Philadelphia, Atlanta, Chicago, St.
Louis, Minneapolis, Kansas City, and San Francisco. The discount rate is the interest ratethat is charged depository institutions when th
ey borrow from their district Federal ReserveBanks.1998 Monetary policyHome
 | 
News and events
Accessibility
Last update: October 15, 1998, 3:15 PM
"
13,19990518,"Release Date: May 18, 1999For immediate releaseThe Federal Reserve released the following 
statement after today's Federal Open MarketCommittee meeting:
While the FOMC did not take action today to alter the stance of monetary policy, the
Committee was concerned about the potential for a buildup of inflationary imbalances thatcould undermine the favorable performance of the economy and therefore adopted adirective that is tilted toward
 the possibility of a firming in the stance of monetary policy.
Trend increases in costs and core prices 
have generally remained quite subdued. Butdomestic financial markets have recovered and foreign economic prospects have improvedsince the easing of monetary policy last fall. Against the background of already-tightdomestic labor markets and ongoing strength in demand in excess of productivity gains, theCommittee recognizes the need to be alert to developments over coming months that mightindicate that financial conditions may no longer be consistent with containing inflation.1999 Monetary policyHome
 | 
News and events
Accessibility
Last update: May 18, 1999, 2:15 PM
"
14,19990630,"Release Date: June 30, 1999
For immediate releaseThe Federal Open Market Committee today voted to raise its target for the federal funds rate
25 basis points to 5 percent. Last fall the Committee reduced interest rates to counter asignificant seizing-up of financial markets in the United States. Since then much of the
financial strain has eased, foreign economies have firmed, and economic activity in theUnited States has moved forward at a brisk p
ace. Accordingly, the full degree of adjustment
is judged no longer necessary.
Labor markets have continued to tighten over recent quarters, but strengthening productivitygrowth has contained inflationary pressures.Owing to the uncertain resolution of the balance of conflicting forces in the economy goingforward, the FOMC has chosen to adopt a directive that includes no predilection aboutnear-term policy action. The Committee, nonethel
ess, recognizes that in the current dynamicenvironment it must be especially alert to the emergence, or potential emergence, of
inflationary forces that could undermine economic growth.1999 Monetary policyHome
 | 
News and events
Accessibility
Last update: June 30, 1999
"
15,19990824,"Release Date: August 24, 1999
For immediate releaseThe Federal Open Market Committee today voted to raise its target for the federal funds rate
by 25 basis points to 5-1/4 percent. In a related action, the Board of Governors approved a25 basis point increase in the discount rate to 4-3/4 percent.With financial markets functioning more normall
y, and with persistent strength in domestic
demand, foreign economies firming and labor markets remaining very tight, the degree ofmonetary ease required to address the global financial market turmoil of last fall is no longerconsistent with sustained, noninflationary, economic expansion.
Today's increase in the federal funds rate, toge
ther with the policy action in June and thefirming of conditions more generally in U.S. financial markets over recent months, shouldmarkedly diminish the risk of rising inflation going forward. As a consequence, the directivethe Federal Open Market Committee adopted is symmetrical with regard to the outlook forpolicy over the near term.In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, New York,
Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City, and San
Francisco. The discount rate is the interest rate that is charged depository institutions when
they borrow from their district Federal Reserve Banks.1999 Monetary policyHome
 | 
News and events
Accessibility
Last update: August 24, 1999
"
16,19991005,"Release Date: October 5, 1999
For immediate releaseThe Federal Open Market Committee decided today to leave its target for the federal funds
rate unchanged.Strengthening productivity growth has been fostering favorable trends in unit costs andprices, and much recent information suggests that these trends have been sustained.Nonetheless, the growth of demand has continued to outpace that of supply, as evidenced by
a decreasing pool of available workers willing to take jobs. In these circumstances, theFederal Open Market Committee will need to be especially alert in the months ahead to thepotential for costs to increase significantly in excess of productivity in a manner that couldcontribute to inflation pressures and undermine the impressive performance of the economy.
Against this background, the Committee adopted a directive that was biased toward apossible firming of policy going forward. Committee members emphasi
zed that such adirective did not signify a commitment to near-term action. The Committee will need to
evaluate additional information on the balance of aggregate supply and demand andconditions in financial markets.1999 Monetary policyHome
 | 
News and events
Accessibility
Last update: October 5, 1999
"
17,19991116,"Release Date: November 16, 1999For immediate releaseThe Federal Open Market Committee today voted to raise its target for the federal funds rate
by 25 basis points to 5-1/2 percent. In a related action, the Board of Governors approved a25 basis point increase in the discount rate to 5 percent.Although cost pressures appear generally contained, risks to sustainable growth persist.Despite tentative evidence of a slowing in certain interest-sensitive sectors of the economyand of accelerating productivity, the expansi
on of activity continues in excess of theeconomy's growth potential. As a consequence, the pool of available workers willing to takejobs has been drawn down further in recent months, a trend that must eventually becontained if inflationary imbalances are to remain in check and economic expansioncontinue.Today's increase in the federal funds rate, t
ogether with the policy actions in June andAugust and the firming of conditions more generally in U.S. financial markets over thecourse of the year, should markedly diminish
 the risk of inflation going forward. As aconsequence, the directive the Federal Open Market Committee adopted is symmetrical withregard to the outlook for policy over the near term.In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, Cleveland, Richmondand Kansas City. The discount rate is the ra
te charged depository institutions when they
borrow short-term adjustment credit from their district Federal Reserve Banks.1999 Monetary policyHome
 | 
News and events
Accessibility
Last update: November 16, 1999
"
18,19991221,"Release Date: December 21, 1999For immediate releaseThe Federal Open Market Committee made no change today in its target for the federal
funds rate.Based on the available evidence, however, the Committee remains concerned with the
possibility that over time increases in demand will continue to exceed the growth inpotential supply, even after taking account of 
the remarkable rise in productivity growth.Such trends could foster inflationary imbalances that would undermine the economy'sexemplary performance.Nonetheless, in light of market uncertainties associated with the century date change, theCommittee decided to adopt a symmetric directive in order to indicate that the focus ofpolicy in the intermeeting period must be ensuring a smooth transition into the Year 2000.
At its next meeting the Committee will assess 
available information on the likely balance ofsupply and demand, conditions in financial markets, and the possible need for adjustment inthe stance of policy to contain inflationary pressures.1999 Monetary policyHome
 | 
News and events
Accessibility
Last update: December 21, 1999
"
19,20000202,"Release Date: February 2, 2000
For immediate releaseThe Federal Open Market Committee voted today to raise its target for the federal funds rate
by 25 basis points to 5-3/4 percent. In a related action, the Board of Governors approved a25 basis point increase in the discount rate to 5-1/4 percent.The Committee remains concerned that over time increases in dema
nd will continue toexceed the growth in potential supply, even 
after taking account of the pronounced rise inproductivity growth. Such trends could foster inflationary imbalances that would underminethe economy's record economic expansion.Against the background of its long-run goals of price stability and sustainable economicgrowth and of the information currently available, the Committee believes the risks are
weighted mainly toward conditions that may generate heightened inflation pressures in theforeseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, New York,
Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City and SanFrancisco. The discount rate is the rate charged depository institutions when they borrowshort-term adjustment credit from th
eir district Federal Reserve Banks.2000 Monetary policyHome
 | 
News and events
Accessibility
Last update: February 2, 2000
"
20,20000321,"Release Date: March 21, 2000
For immediate releaseThe Federal Open Market Committee voted today to raise its target for the federal funds rate
by 25 basis points to 6 percent. In a related action, the Board of Governors approved a 25basis point increase in the discount rate to 5-1/2 percent.Economic conditions and considerations addressed by the Committee are essentially thesame as when the Committee met in February. The Committee remains concerned that

increases in demand will continue to exceed the growth in potential supply, which could
foster inflationary imbalances that would undermine the economy's record economicexpansion.Against the background of its long-run goals of price stability and sustainable economicgrowth and of the information currently available, the Committee believes the risks are
weighted mainly toward conditions that may generate heightened inflation pressures in theforeseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, New York,
Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas Cityand San Francisco. The discount rate is the rate charged depository institutions when they
borrow short-term adjustment credit from their district Federal Reserve Banks.2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: March 21, 2000
"
21,20000516,"Release Date: May 16, 2000For immediate releaseThe Federal Open Market Committee voted today to raise its target for the federal funds rate
by 50 basis points to 6-1/2 percent. In a related action, the Board of Governors approved a50 basis point increase in the discount rate to 6 percent.Increases in demand have remained in excess of even the rapid pace of productivity-drivengains in potential supply, exerting conti
nued pressure on resources. The Committee isconcerned that this disparity in the growth of demand and potential supply will continue,which could foster inflationary imbalances that would undermine the economy's outstandingperformance.
Against the background of its long-term goals of price stability and sustainable economicgrowth and of the information already available, the Committee believes the risks areweighted mainly toward conditions that may generate heightened inflation pressures in theforeseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, Cleveland, Richmond,and San Francisco. The discount rate is the rate charged depository institutions when they
borrow short-term adjustment credit from their district Federal Reserve Banks.2000 Monetary policyHome
 | 
News and events
Accessibility
Last update: May 16, 2000
"
22,20000628,"Release Date: June 28, 2000
For immediate releaseThe Federal Open Market Committee at its meet
ing today decided to maintain the existingstance of monetary policy, keeping its target
 for the federal funds rate at 6-1/2 percent.Recent data suggest that the expansion of aggregate demand may be moderating toward apace closer to the rate of growth of the economy's potential to produce. Although core
measures of prices are rising slightly faster than a year ago, continuing rapid advances inproductivity have been containing costs and holding down underlying price pressures.Nonetheless, signs that growth in demand is moving to a sustainable pace are still tentative
and preliminary, and the utilizati
on of the pool of available workers remains at an unusuallyhigh level.In these circumstances, and against the background of its long-term goals of price stabilityand sustainable economic growth and of the information currently available, the Committeebelieves the risks continue to be weighted mainly toward conditions that may generateheightened inflation pressures in the foreseeable future.
2000 Monetary policyHome
 | 
News and events
Accessibility
Last update: June 28, 2000
"
23,20000822,"Release Date: August 22, 2000
For immediate releaseThe Federal Open Market Committee at its meet
ing today decided to maintain the existingstance of monetary policy, keeping its target
 for the federal funds rate at 6-1/2 percent.Recent data have indicated that the expansion of aggregate demand is moderating toward apace closer to the rate of growth of the economy's potential to produce. The data also haveindicated that more rapid advances in productivity have been raising that potential growthrate as well as containing costs and holding down underlying price pressures.Nonetheless, the Committee remains concerned about the risk of a continuing gap betweenthe growth of demand and potential supply at a time when the utilization of the pool ofavailable workers remains at an unusually high level.Against the background of its long-term goals of price stability and sustainable economicgrowth and of the information currently available, the Committee believes the risks continue
to be weighted mainly toward conditions that may generate heightened inflation pressures inthe foreseeable future.
2000 Monetary policyHome
 | 
News and events
Accessibility
Last update: August 22, 2000
"
24,20001003,"Release Date: October 3, 2000
For immediate releaseThe Federal Open Market Committee at its meet
ing today decided to maintain the existingstance of monetary policy, keeping its target
 for the federal funds rate at 6-1/2 percent.Recent data have indicated that the expansion of aggregate demand has moderated to a pacecloser to the enhanced rate of growth of the economy's potential to produce. The more rapidadvances in productivity also continue to help contain costs and hold down underlying pricepressures.However, the utilization of the pool of availa
ble workers remains at an unusually high level.Moreover, the increase in energy prices, t
hough having limited effect on core measures of
prices to date, poses a risk of raising inflation expectations. The subdued behavior of thoseexpectations so far has contributed importantly to maintaining an environment conducive tomaximum sustainable growth.Against the background of its long-term goals of price stability and sustainable economicgrowth and of the information currently available, the Committee believes the risks continue
to be weighted mainly toward conditions that may generate heightened inflation pressures inthe future.2000 Monetary policyHome
 | 
News and events
Accessibility
Last update: October 3, 2000
"
25,20001115,"Release Date: November 15, 2000For immediate releaseThe Federal Open Market Committee at its meet
ing today decided to maintain the existingstance of monetary policy, keeping its target
 for the federal funds rate at 6-1/2 percent.The utilization of the pool of available workers remains at an unusually high level, and theincrease in energy prices, though having limited ef
fect on core measures of prices to date,still harbors the possibility of raising inflation expectations. The Committee, accordingly,
continues to see a risk of heightened inflation pressures. However, softening in business and
household demand and tightening conditions in financial markets over recent monthssuggest that the economy could expand for a time at a pace below the productivity-enhancedrate of growth of its potential to produce.Nonetheless, to date the easing of demand pressures has not been sufficient to warrant a
change in the Committee's judgment that against the background of its long-run goals ofprice stability and sustainable economic growth and of the information currently available,the risks continue to be weighted mainly toward conditions that may generate heightenedinflation pressures in the foreseeable future.2000 Monetary policyHome
 | 
News and events
Accessibility
Last update: November 15, 2000
"
26,20001219,"Release Date: December 19, 2000For immediate releaseThe Federal Open Market Committee at its meet
ing today decided to maintain the existingstance of monetary policy, keeping its target
 for the federal funds rate at 6-1/2 percent.The drag on demand and profits from rising energy costs, as well as eroding consumer
confidence, reports of substantial shortfalls in sales and earnings, and stress in somesegments of the financial markets suggest that economic growth may be slowing further.
While some inflation risks persist, they 
are diminished by the more moderate pace ofeconomic activity and by the absence of any indication that longer-term inflation
expectations have increased. The Committee will continue to monitor closely the evolvingeconomic situation.Against the background of its long-run goals of price stability and sustainable economicgrowth and of the information currently available, the Committee consequently believes thatthe risks are weighted mainly toward conditions that may generate economic weakness inthe foreseeable future.
2000 Monetary policyHome
 | 
News and events
Accessibility
Last update: December 19, 2000
"
27,20010103,"Release Date: January 3, 2001
For immediate releaseThe Federal Open Market Committee decided today to lower its target for the federal funds
rate by 50 basis points to 6 percent.In a related action, the Board of Governors approved a 25-basis-point decrease in thediscount rate to 5-3/4 percent, the level requested by seven Reserve Banks. The Board alsoindicated that it stands ready to approve a further reduction of 25 basis points in the discountrate to 5-1/2 percent on the requests of Federal Reserve Banks.These actions were taken in light of further weakening of sales and production, and in thecontext of lower consumer confidence, tight conditions in some segments of financialmarkets, and high energy prices sapping household and business purchasing power.

Moreover, inflation pressures remain contained. 
Nonetheless, to date there is little evidence
to suggest that longer-term advances in tec
hnology and associated gains in productivity areabating.The Committee continues to believe that, against the background of its long-run goals ofprice stability and sustainable economic growth and of the information currently available,the risks are weighted mainly toward conditions that may generate economic weakness inthe foreseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of New York, Cleveland, Atlanta,
St. Louis, Kansas City, Dallas and San Francisco.
2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: January 3, 2001
"
28,20010131,"Release Date: January 31, 2001
For immediate releaseThe Federal Open Market Committee at its meeti
ng today decided to lower its target for the
federal funds rate by 50 basis points to 5-1/2 percent. In a related action, the Board ofGovernors approved a 50 basis point reduction in the discount rate to 5 percent.Consumer and business confidence has eroded further, exacerbated by rising energy costs
that continue to drain consumer purchasing power and press on business profit margins.
Partly as a consequence, retail sales and business spending on capital equipment haveweakened appreciably. In response, manufacturing production has been cut back sharply,

with new technologies appearing to have accelerated the response of production and demandto potential excesses in the stock of inventories and capital equipment.Taken together, and with inflation contained, th
ese circumstances have called for a rapid and
forceful response of monetary policy. Th
e longer-term advances in technology and
accompanying gains in productivity, however, exhibit few signs of abating and these gains,

along with the lower interest rates, should support growth of the economy over time.Nonetheless, the Committee continues to believe that against the background of its long-rungoals of price stability and sustainable economic growth and of the information currentlyavailable, the risks are weighted mainly toward conditions that may generate economicweakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia,
Cleveland, Atlanta, Chicago, St. Louis, Minneapolis, Dallas and San Francisco.2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: January 31, 2001
"
29,20010320,"Release Date: March 20, 2001
For immediate releaseThe Federal Open Market Committee at its meeti
ng today decided to lower its target for the
federal funds rate by 50 basis points to 5 percent. In a related action, the Board of Governorsapproved a 50 basis point reduction in the discount rate to 4-1/2 percent.Persistent pressures on profit margins are 
restraining investment spending and, throughdeclines in equity wealth, consumption. The associated backup in inventories has induced arapid response in manufacturing output and, with spending having firmed a bit since lastyear, inventory adjustment 
appears to be well underway.
Although current developments do not appear to have materially diminished the prospectsfor long-term growth in productivity, excess pr
oductive capacity has emerged recently. The
possibility that this excess could continue for some time and the potential for weakness inglobal economic conditions suggest substantial risks that demand and production couldremain soft. In these circumstances, when the economic situation could be evolving rapidly,
the Federal Reserve will need to monitor developments closely.
The Committee continues to believe that against the background of its long-run goals ofprice stability and sustainable economic growth and of the information currently available,the risks are weighted mainly toward conditions that may generate economic weakness inthe foreseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of all twelve Reserve Banks.2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: March 20, 2001
"
30,20010418,"Release Date: April 18, 2001
For immediate releaseThe Federal Open Market Committee decided today to lower its target for the federal funds
rate by 50 basis points to 4-1/2 percent. In a related action, the Board of Governorsapproved a 50 basis point reduction in the discount rate to 4 percent.The FOMC has reviewed prospects for the economy in light of the information that hasbecome available since its March meeting. A significant reduction in excess inventoriesseems well advanced. Consumption and housing expenditures have held up reasonably well,though activity in these areas has flattened recently. Although measured productivity
probably weakened in the first quarter, the 
impressive underlying rate of increase thatdeveloped in recent years appears to be largely intact.
Nonetheless, capital investment has continued to soften and the persistent erosion in currentand expected profitability, in combination 
with rising uncertainty about the businessoutlook, seems poised to dampen capital spending going forward. This potential restraint,together with the possible effects of earlier 
reductions in equity wealth on consumption andthe risk of slower growth abroad, threatens to keep the pace of economic activityunacceptably weak. As a consequence, the Committee agreed that an adjustment in thestance of policy is warranted during this extended intermeeting period.The Committee continues to believe that against the background of its long-run goals ofprice stability and sustainable economic growth and of the information currently available,the risks are weighted mainly toward conditions that may generate economic weakness inthe foreseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, New York,
Philadelphia, Cleveland, Atlanta, Minneapolis, Dallas, and San Francisco.2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: April 18, 2001
"
31,20010515,"Release Date: May 15, 2001For immediate releaseThe Federal Open Market Committee at its meeti
ng today decided to lower its target for the
federal funds rate by 50 basis points to 4 percent. In a related action, the Board of Governorsapproved a 50 basis point reduction in the discount rate to 3-1/2 percent.A significant reduction in excess inventories seems well advanced. Consumption andhousing expenditures have held up reasonably well, though activity in these areas hasflattened recently. Investment in capital equi
pment, however, has continued to decline. The
erosion in current and prospective profitability, in combination with considerable
uncertainty about the business outlook, seems likely to hold down capital spending goingforward. This potential restraint, together with the possible effects 
of earlier reductions inequity wealth on consumption and the risk of slower growth abroad, continues to weigh onthe economy.
With pressures on labor and product markets 
easing, inflation is expected to remaincontained. Although measured productivity growth stalled in the first quarter, the impressive
underlying rate of increase that developed in recent years appears to be largely intact,
supporting longer-term prospects.
The Committee continues to believe that against the background of its long-run goals ofprice stability and sustainable economic growth and of the information currently available,the risks are weighted mainly toward conditions that may generate economic weakness inthe foreseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of New York, Richmond, Chicago,
St. Louis and San Francisco.2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: May 15, 2001
"
32,20010627,"Release Date: June 27, 2001
For immediate releaseThe Federal Open Market Committee at its meeti
ng today decided to lower its target for the
federal funds rate by 25 basis points to 3-3/4 percent. In a related action, the Board ofGovernors approved a 25 basis point reduction in the discount rate to 3-1/4 percent. Today's
action by the FOMC brings the decline in the target federal funds rate since the beginning of
the year to 275 basis points.The patterns evident in recent months--declining profitability and business capital spending,weak expansion of consumption, and slowing growth abroad--continue to weigh on theeconomy. The associated easing of pressures 
on labor and product markets is expected tokeep inflation contained.Although continuing favorable trends bolster long-term prospects for productivity growthand the economy, the Committee continues to 
believe that against the background of itslong-run goals of price stability and sustainable economic growth and of the informationcurrently available, the risks are weighted mainly toward conditions that may generateeconomic weakness in the foreseeable future.In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, New York,
Philadelphia, Atlanta, Chicago, Dallas and San Francisco.2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: June 27, 2001
"
33,20010821,"Release Date: August 21, 2001
For immediate releaseThe Federal Open Market Committee at its meeti
ng today decided to lower its target for the
federal funds rate by 25 basis points to 3-1/2 percent. In a related action, the Board ofGovernors approved a 25 basis point reduction in the discount rate to 3 percent. Today's
action by the FOMC brings the decline in the target federal funds rate since the beginning of
the year to 300 basis points.Household demand has been sustained, but business profits and capital spending continue toweaken and growth abroad is slowing, weighing on the U.S. economy. The associated

easing of pressures on labor and product markets is expected to keep inflation contained.Although long-term prospects for productivity growth and the economy remain favorable,the Committee continues to believe that against the background of its long-run goals of pricestability and sustainable economic growth and of the information currently available, therisks are weighted mainly toward conditions that may generate economic weakness in theforeseeable future.
In taking the discount rate action, the Federal Reserve Board approved requests submittedby the Boards of Directors of the Federal Reserve Banks of Boston, New York,
Philadelphia, Richmond, Chicago, Kansas City and Dallas.2001 Monetary policyHome
 | 
News and events
Accessibility
Last update: August 21, 2001
"
